,V1,V2,V4,TEO,9/46d,F5,8m,7A,DP,2,5,7B,STPr,STPi,STPc,PBr,TEpd,24c,F1,F2,F7,ProM,8l,9/46v,46d,8B,10,MT,7m
TPt,1.10e-04,2.79e-06,0,0,8.39e-04,0,8.58e-05,1.64e-01,9.54e-05,0,6.21e-03,1.28e-02,1.32e-05,8.60e-05,4.48e-02,7.38e-04,0,0,0,1.35e-02,1.74e-03,0,4.29e-04,2.19e-03,0,0,0,2.68e-05,3.70e-03
VIP,0,5.87e-05,0,0,7.62e-04,0,7.48e-04,8.13e-05,9.14e-04,5.69e-06,1.68e-02,6.06e-02,0,0,5.54e-05,0,0,1.38e-04,0,7.88e-05,1.13e-05,0,1.63e-03,3.51e-05,1.66e-05,0,0,1.49e-03,8.38e-03
V6A,0,2.14e-05,0,0,1.93e-02,1.46e-05,5.89e-04,7.83e-02,3.88e-02,0,0,1.38e-03,0,0,1.38e-05,0,0,8.06e-03,0,0,0,0,2.15e-04,8.19e-05,7.47e-05,0,0,2.98e-06,4.34e-01
V6,0,1.60e-05,0,0,9.64e-04,9.76e-06,0,1.26e-04,2.02e-02,0,0,0,0,0,0,0,0,1.38e-04,0,0,0,0,0,0,0,0,0,0,2.32e-03
Entorhinal,0,0,6.42e-05,2.57e-05,0,1.17e-04,6.13e-05,4.45e-03,4.61e-04,1.44e-03,3.77e-04,0,3.86e-03,0,5.81e-04,7.84e-03,3.43e-04,0,0,0,0,2.25e-03,2.86e-04,2.34e-05,1.66e-05,1.55e-04,1.37e-04,0,4.17e-05
Insula,0,0,5.35e-05,1.28e-04,1.97e-03,6.56e-03,3.00e-03,1.27e-03,3.97e-06,3.00e-02,9.23e-03,1.46e-02,9.51e-04,6.23e-04,1.96e-02,1.31e-03,7.77e-05,1.75e-02,2.66e-03,6.48e-03,2.46e-03,2.50e-02,9.21e-03,1.01e-02,1.66e-05,1.00e-04,4.74e-04,4.47e-05,1.55e-04
45B,0,0,4.28e-05,4.17e-04,4.24e-03,1.37e-04,1.24e-01,1.35e-04,6.76e-04,0,0,3.45e-04,7.82e-04,0,7.47e-04,5.03e-05,6.49e-03,8.31e-05,0,4.38e-05,6.39e-03,0,6.82e-02,7.63e-03,0,4.79e-04,1.32e-03,5.00e-04,1.13e-04
MIP,0,0,0,1.92e-05,1.63e-04,4.88e-06,1.23e-05,3.61e-05,6.49e-03,0,1.63e-03,7.14e-02,0,0,0,0,0,8.24e-03,0,2.21e-03,0,0,8.17e-05,0,1.66e-05,0,1.02e-05,1.19e-05,2.74e-02
Temporal-pole,0,0,0,2.89e-04,1.17e-04,4.88e-05,1.47e-04,3.79e-04,0,4.83e-04,2.51e-04,0,2.22e-01,1.30e-01,3.77e-03,1.40e-01,1.17e-03,0,0,2.63e-05,5.99e-04,2.16e-03,5.01e-04,7.26e-04,1.66e-05,8.99e-03,3.04e-02,2.38e-05,0
Pi,0,0,0,4.49e-05,1.32e-04,2.44e-05,1.47e-04,0,0,0,0,0,5.27e-03,8.81e-04,2.15e-04,7.58e-03,5.01e-06,0,0,9.63e-05,5.65e-04,0,3.27e-04,2.34e-05,3.32e-05,6.18e-05,3.43e-04,0,0
